blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueBarons,blueHordes,blueTowersDestroyed,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff
1,71,24,1,27,34,52,3,1,0,3,7,95,-2477,-4522
0,103,46,1,25,28,41,2,0,0,0,6,121,-8382,-16408
1,79,26,1,42,44,68,4,1,0,6,11,159,-1318,-5038
0,40,8,1,8,18,13,0,0,0,4,0,97,-4744,-6427
0,57,17,1,14,22,17,0,1,0,6,4,106,-4753,-12615
0,84,28,1,28,32,46,3,1,0,3,4,103,-10307,-14612
1,73,21,1,35,12,54,2,1,1,5,10,122,14874,12785
1,55,22,0,38,23,64,3,1,1,0,8,108,7581,11008
0,61,38,0,14,33,18,0,1,0,2,2,121,-12421,-14800
1,78,24,1,39,33,61,3,1,1,0,7,154,3265,3999
0,58,28,1,28,35,39,1,0,0,3,4,116,-7472,-13065
1,57,26,0,20,17,40,1,1,0,4,8,99,7655,6010
1,84,42,0,22,19,48,0,1,1,3,6,148,4325,9025
1,143,52,0,46,37,57,3,1,2,2,9,150,3332,5850
1,78,32,1,37,15,57,3,1,1,0,10,116,15558,15615
0,58,24,0,20,37,29,0,0,0,0,2,103,-12675,-12755
0,71,30,1,17,31,25,0,0,0,5,3,99,-11943,-16477
1,38,9,1,22,10,30,2,1,0,2,3,57,7196,2717
1,73,14,1,30,16,46,1,0,1,2,3,103,6938,12091
0,79,37,1,35,35,63,0,0,1,1,6,129,-6238,-10806
0,81,25,1,20,32,31,2,1,0,3,3,90,-9869,-10223
1,81,32,1,49,33,68,1,0,2,1,7,135,10094,14869
0,38,6,1,3,22,4,0,0,0,0,0,75,-13188,-7197
1,43,14,1,19,6,35,1,1,0,0,8,67,10649,6868
1,101,37,0,49,43,56,3,0,4,3,11,169,8525,17685
0,57,18,1,17,26,12,1,0,0,6,4,85,-12332,-13969
1,31,13,1,31,7,27,1,1,0,6,8,100,17199,14111
0,51,19,1,13,23,16,2,1,0,0,2,129,-10140,-9024
0,29,6,1,5,26,6,0,0,0,1,0,63,-12355,-7371
0,83,13,1,29,49,49,2,1,0,3,1,73,-15230,-7880
0,65,18,0,18,33,21,0,0,1,4,2,73,-10267,-6488
0,81,18,1,35,39,77,3,0,0,0,3,116,-5556,-6706
0,29,3,0,5,25,4,0,0,0,3,0,39,-12136,-7892
0,58,20,1,16,35,23,2,0,0,0,1,89,-16383,-12652
0,86,26,0,37,47,74,3,0,1,4,7,125,-7929,-10414
0,72,24,0,23,33,38,2,0,0,6,4,110,-5427,-8225
0,58,10,0,15,29,22,0,0,0,6,2,73,-11882,-13901
1,100,43,0,31,34,51,3,0,1,1,11,147,3861,3797
1,73,24,1,24,8,38,0,0,1,6,7,131,14034,15087
1,79,23,1,31,15,62,1,1,1,5,9,103,10959,10814
0,43,6,1,6,20,10,0,0,0,6,1,77,-11125,-6381
0,65,30,1,15,28,25,1,1,0,3,3,123,-9269,-10044
1,81,21,0,35,30,61,1,1,1,3,7,130,4603,6245
1,60,28,0,26,13,49,1,1,1,6,11,74,12409,8800
0,48,16,0,10,27,13,0,0,0,2,2,85,-13064,-12560
0,110,38,0,18,31,27,1,1,1,3,7,174,-8298,-13682
0,62,29,1,10,18,18,0,0,0,0,4,112,-7796,-8195
1,72,30,1,31,14,40,2,0,2,4,11,116,10470,8795
1,60,17,0,36,19,59,1,1,1,1,11,122,8356,8406
0,81,24,0,21,31,52,0,0,1,3,1,115,-10096,-4053
0,86,36,1,39,39,73,2,0,1,1,6,141,-67,2343
